lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-30cm [-],SOC_0-30cm [wt%],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],cropland [%],OC_input_gC_per_m2_per_yr,log_tau_OC_yr,log_KH_per_Na,log_Ca_M
31.5,-104.5,16.086687088012700,0.1723121106624600,7.3,2.536666666666670,147.68888015312700,0.4370000064373020,91.29083333333330,0.0485305897891521,0.035010582971937,2.1745254345344300,15.79831131446200,1.0,,,,
31.5,-103.5,18.2453670501709,0.174969732761383,7.800000000000000,0.8,144.97352372243600,0.4370000064373020,92.81520833333330,0.1162449941039090,0.0407866496020737,2.1745254345344300,9.823768684578780,12.0,,,,
31.5,-102.5,18.3416805267334,0.1752893030643460,7.700000000000000,0.9283333333333340,162.4554049597080,0.4370000064373020,95.64611111111110,0.105651170015335,0.0436352523110718,2.1745254345344300,8.5251336411308,15.0,,,,
31.5,-101.5,17.347265243530300,0.1871783137321470,7.800000000000000,1.1416666666666700,205.6876354499890,0.4370000064373020,90.85916666666670,0.1095555573701860,0.0800563432152807,2.1745254345344300,21.914891623084600,19.0,,,,
31.5,-100.5,18.05756378173830,0.199573278427124,7.700000000000000,1.6850000000000000,270.925414023229,0.449999988079071,96.85777777777780,0.1057409197092060,0.0995689342058258,2.1745254345344300,28.500000000000000,19.0,1315.20512,0.48162120520685900,6.353886856,-1.5915374837350500
31.5,-99.5,18.42243766784670,0.2116414904594420,7.433333333333330,1.5316666666666700,308.4032607172070,0.4370000064373020,94.53469987407300,0.0884497687220573,0.1369068402390870,2.1745254345344300,30.189735541540100,18.0,1029.201313,0.6176435486889950,6.449407612,-1.8481939761527900
31.5,-98.5,18.10882377624510,0.2275342643260960,6.950000000000000,1.2416666666666700,354.88289095865000,0.449999988079071,93.75111111111110,0.0916961282491684,0.1559971132789860,2.1745254345344300,18.594312890393000,17.0,856.155728,0.6746143873463950,6.645829274,-1.8307334623966000
31.5,-97.5,18.733312606811500,0.2454500198364260,7.6,1.4233333333333300,372.6918273675250,0.449999988079071,91.6757638888889,0.1213509514927860,0.2153683705355400,2.1745254345344300,36.409912136344900,20.0,920.89427,0.6450355574537900,6.688748919,-1.6861391313395000
31.5,-96.5,18.93777656555180,0.2478289306163790,6.5,1.1483333333333300,440.0384285915650,0.4469999969005580,79.5625,0.1022625118494030,0.245732933757234,2.1745254345344300,15.87092862455190,32.0,640.573212,0.6873125226064720,6.001773843,-2.598128065819560
31.5,-95.5,18.72162628173830,0.2492991089820860,5.6,1.5683333333333300,456.8256003196060,0.4469999969005580,58.22430555555560,0.039015494287014,0.284585104128786,2.1745254345344300,2.854774958732130,24.0,539.3166827,0.7762335036534210,6.010141513,-3.173703983461440
31.5,-94.5,18.467374801635700,0.2553207278251650,5.333333333333330,1.4666666666666700,466.57150019008000,0.4469999969005580,51.81006944444450,0.0239793267101049,0.4092975619587880,2.1745254345344300,1.5995497839498500,7.0,826.6128134,0.5650832274580230,5.670558721,-3.413508240272390
31.5,-93.5,18.217775344848600,0.2594169378280640,5.300000000000000,1.0166666666666700,499.9517293076390,0.4469999969005580,56.13089589729280,0.0267032720148563,0.4701465567586170,0.8648680705534660,0.0,7.0,,,,
31.5,-92.5,18.731857299804700,0.2686567306518550,5.6,1.5566666666666700,533.5949505340030,0.4469999969005580,63.09198146327760,0.0589432008564472,0.5070399131408320,0.8648680705534660,12.57261506407530,16.0,578.8408993,0.7800000467951180,5.843498092,-3.1608745131564000
31.5,-91.5,18.755464553833000,0.2820392251014710,5.616666666666670,1.9166666666666700,522.0089943513740,0.449999988079071,72.420625,0.1819215714931490,0.5479717584485620,0.8648680705534660,9.407351874129640,28.0,501.0070944,0.8924788390728980,5.649331359,-2.9769905675041700
31.5,-90.5,17.973651885986300,0.2806375920772550,5.866666666666670,1.6166666666666700,851.7601766034280,0.4469999969005580,66.17493055555560,0.1021473780274390,0.5989219745805200,0.8648680705534660,0.0,6.0,,,,
